,compound,crystal structure type,target,IP(A),IP(B),IP(C),EA(A),EA(B),EA(C),Eh(A),Eh(B),Eh(C),El(A),El(B),El(C),rs(A),rs(B),rs(C),rp(A),rp(B),rp(C),rd(A),rd(B),rd(C),Z(A),Z(B),Z(C),coord_0,coord_1
91,Tl_Bi_F,hexagonal,FIQSHI,-5.8428,-6.7766,-19.2311,-0.3652,-0.6841,-4.0664,-2.9548,-3.6061,-11.0912,-1.9101,2.1526,1.7177,1.0974,0.9899,0.4044,1.5446,1.3017,0.374,0.5904,0.5469,1.0655,81,83,9,1624.6,-22.227
92,Zn_Po_F,hexagonal,FIQSHI,-9.8943,-7.8364,-19.2311,1.933,-1.2653,-4.0664,-5.9772,-4.4381,-11.0912,-0.8596,2.5755,1.7177,1.1068,0.9462,0.4044,1.6435,1.2195,0.374,0.2997,0.5281,1.0655,30,84,9,706.04,-30.656
93,C_Pb_F,hexagonal,FIQSHI,-10.7378,-7.4779,-19.2311,-0.7084,-0.1649,-4.0664,-5.2827,-4.3124,-11.0912,3.7441,-2.8218,1.7177,0.6418,1.0396,0.4044,0.6367,1.4049,0.374,1.1355,0.5676,1.0655,6,82,9,3990.6,-47.84
94,Al_Bi_Cl,hexagonal,FIQSHI,-5.7109,-6.7766,-13.783,0.0405,-0.6841,-3.6491,-2.7067,-3.6061,-8.554,3.1168,2.1526,4.9235,1.1043,0.9899,0.6785,1.3965,1.3017,0.7567,1.7101,0.5469,1.3489,13,83,17,950.96,-48.146
95,Ga_Bi_Cl,hexagonal,FIQSHI,-5.7265,-6.7766,-13.783,0.0668,-0.6841,-3.6491,-2.6553,-3.6061,-8.554,-2.5397,2.1526,4.9235,1.0027,0.9899,0.6785,1.344,1.3017,0.7567,0.2823,0.5469,1.3489,31,83,17,1129.3,-53.024
96,Ge_Pb_Cl,hexagonal,FIQSHI,-7.5349,-7.4779,-13.783,-0.658,-0.1649,-3.6491,-4.0179,-4.3124,-8.554,-3.8308,-2.8218,4.9235,0.922,1.0396,0.6785,1.1721,1.4049,0.7567,0.2666,0.5676,1.3489,32,82,17,5169.7,-70.596
97,Ge_Sn_Cl,hexagonal,FIQSHI,-7.5349,-7.1531,-13.783,-0.658,-0.6953,-3.6491,-4.0179,-3.9778,-8.554,-3.8308,-3.5282,4.9235,0.922,1.066,0.6785,1.1721,1.3554,0.7567,0.2666,0.4694,1.3489,32,50,17,843.6,-64.607
98,Hg_Po_Cl,hexagonal,FIQSHI,-10.719,-7.8364,-13.783,1.2734,-1.2653,-3.6491,-6.808,-4.4381,-8.554,-1.369,2.5755,4.9235,1.1675,0.9462,0.6785,1.8734,1.2195,0.7567,0.6158,0.5281,1.3489,80,84,17,1015.7,-60.971
99,In_Bi_Cl,hexagonal,FIQSHI,-5.5634,-6.7766,-13.783,-0.1615,-0.6841,-3.6491,-2.7148,-3.6061,-8.554,-2.4096,2.1526,4.9235,1.1407,0.9899,0.6785,1.5133,1.3017,0.7567,0.4929,0.5469,1.3489,49,83,17,1307.6,-46.61
100,Si_Pb_Cl,hexagonal,FIQSHI,-7.674,-7.4779,-13.783,-0.7975,-0.1649,-3.6491,-4.0707,-4.3124,-8.554,3.7258,-2.8218,4.9235,0.9466,1.0396,0.6785,1.1405,1.4049,0.7567,1.1619,0.5676,1.3489,14,82,17,4353.4,-68.761
101,Sn_Pb_Cl,hexagonal,FIQSHI,-7.1531,-7.4779,-13.783,-0.6953,-0.1649,-3.6491,-3.9778,-4.3124,-8.554,-3.5282,-2.8218,4.9235,1.066,1.0396,0.6785,1.3554,1.4049,0.7567,0.4694,0.5676,1.3489,50,82,17,5985.9,-61.06
102,Sn_Sn_Cl,hexagonal,FIQSHI,-7.1531,-7.1531,-13.783,-0.6953,-0.6953,-3.6491,-3.9778,-3.9778,-8.554,-3.5282,-3.5282,4.9235,1.066,1.066,0.6785,1.3554,1.3554,0.7567,0.4694,0.4694,1.3489,50,50,17,1028.8,-55.88
103,Tl_Bi_Cl,hexagonal,FIQSHI,-5.8428,-6.7766,-13.783,-0.3652,-0.6841,-3.6491,-2.9548,-3.6061,-8.554,-1.9101,2.1526,4.9235,1.0974,0.9899,0.6785,1.5446,1.3017,0.7567,0.5904,0.5469,1.3489,81,83,17,1624.6,-48.449
104,Zn_Po_Cl,hexagonal,FIQSHI,-9.8943,-7.8364,-13.783,1.933,-1.2653,-3.6491,-5.9772,-4.4381,-8.554,-0.8596,2.5755,4.9235,1.1068,0.9462,0.6785,1.6435,1.2195,0.7567,0.2997,0.5281,1.3489,30,84,17,706.04,-64.315
105,C_Pb_Cl,hexagonal,FIQSHI,-10.7378,-7.4779,-13.783,-0.7084,-0.1649,-3.6491,-5.2827,-4.3124,-8.554,3.7441,-2.8218,4.9235,0.6418,1.0396,0.6785,0.6367,1.4049,0.7567,1.1355,0.5676,1.3489,6,82,17,3990.6,-101.42
106,Al_Bi_Br,hexagonal,FIQSHI,-5.7109,-6.7766,-12.3191,0.0405,-0.6841,-3.3579,-2.7067,-3.6061,-7.6871,3.1168,2.1526,5.1846,1.1043,0.9899,0.7514,1.3965,1.3017,0.8834,1.7101,0.5469,0.2281,13,83,35,950.96,-108.35
107,B_Bi_Br,hexagonal,FIQSHI,-8.1249,-6.7766,-12.3191,0.0319,-0.6841,-3.3579,-3.6057,-3.6061,-7.6871,2.4537,2.1526,5.1846,0.8025,0.9899,0.7514,0.8348,1.3017,0.8834,1.3619,0.5469,0.2281,5,83,35,871.72,-149.1
108,Cd_Po_Br,hexagonal,FIQSHI,-9.2604,-7.8364,-12.3191,1.4516,-1.2653,-3.3579,-5.657,-4.4381,-7.6871,-1.1292,2.5755,5.1846,1.2355,0.9462,0.7514,1.804,1.2195,0.8834,0.5192,0.5281,0.2281,48,84,35,817.52,-126.87
109,Ga_Bi_Br,hexagonal,FIQSHI,-5.7265,-6.7766,-12.3191,0.0668,-0.6841,-3.3579,-2.6553,-3.6061,-7.6871,-2.5397,2.1526,5.1846,1.0027,0.9899,0.7514,1.344,1.3017,0.8834,0.2823,0.5469,0.2281,31,83,35,1129.3,-119.33
110,Ge_Ge_Br,hexagonal,FIQSHI,-7.5349,-7.5349,-12.3191,-0.658,-0.658,-3.3579,-4.0179,-4.0179,-7.6871,-3.8308,-3.8308,5.1846,0.922,0.922,0.7514,1.1721,1.1721,0.8834,0.2666,0.2666,0.2281,32,32,35,732.88,-158.56
111,Ge_Pb_Br,hexagonal,FIQSHI,-7.5349,-7.4779,-12.3191,-0.658,-0.1649,-3.3579,-4.0179,-4.3124,-7.6871,-3.8308,-2.8218,5.1846,0.922,1.0396,0.7514,1.1721,1.4049,0.8834,0.2666,0.5676,0.2281,32,82,35,5169.7,-156.4
112,Ge_Sn_Br,hexagonal,FIQSHI,-7.5349,-7.1531,-12.3191,-0.658,-0.6953,-3.3579,-4.0179,-3.9778,-7.6871,-3.8308,-3.5282,5.1846,0.922,1.066,0.7514,1.1721,1.3554,0.8834,0.2666,0.4694,0.2281,32,50,35,843.6,-144.07
113,Hg_Po_Br,hexagonal,FIQSHI,-10.719,-7.8364,-12.3191,1.2734,-1.2653,-3.3579,-6.808,-4.4381,-7.6871,-1.369,2.5755,5.1846,1.1675,0.9462,0.7514,1.8734,1.2195,0.8834,0.6158,0.5281,0.2281,80,84,35,1015.7,-134.26
114,In_Bi_Br,hexagonal,FIQSHI,-5.5634,-6.7766,-12.3191,-0.1615,-0.6841,-3.3579,-2.7148,-3.6061,-7.6871,-2.4096,2.1526,5.1846,1.1407,0.9899,0.7514,1.5133,1.3017,0.8834,0.4929,0.5469,0.2281,49,83,35,1307.6,-104.9
115,Si_Pb_Br,hexagonal,FIQSHI,-7.674,-7.4779,-12.3191,-0.7975,-0.1649,-3.3579,-4.0707,-4.3124,-7.6871,3.7258,-2.8218,5.1846,0.9466,1.0396,0.7514,1.1405,1.4049,0.8834,1.1619,0.5676,0.2281,14,82,35,4353.4,-152.33
116,Sn_Sn_Br,hexagonal,FIQSHI,-7.1531,-7.1531,-12.3191,-0.6953,-0.6953,-3.3579,-3.9778,-3.9778,-7.6871,-3.5282,-3.5282,5.1846,1.066,1.066,0.7514,1.3554,1.3554,0.8834,0.4694,0.4694,0.2281,50,50,35,1028.8,-124.61
117,Tl_Bi_Br,hexagonal,FIQSHI,-5.8428,-6.7766,-12.3191,-0.3652,-0.6841,-3.3579,-2.9548,-3.6061,-7.6871,-1.9101,2.1526,5.1846,1.0974,0.9899,0.7514,1.5446,1.3017,0.8834,0.5904,0.5469,0.2281,81,83,35,1624.6,-109.03
118,Tl_Sb_Br,hexagonal,FIQSHI,-5.8428,-8.0367,-12.3191,-0.3652,-1.3698,-3.3579,-2.9548,-4.6012,-7.6871,-1.9101,4.276,5.1846,1.0974,1.0035,0.7514,1.5446,1.24,0.8834,0.5904,0.4483,0.2281,81,51,35,774.45,-149.22
119,Zn_Po_Br,hexagonal,FIQSHI,-9.8943,-7.8364,-12.3191,1.933,-1.2653,-3.3579,-5.9772,-4.4381,-7.6871,-0.8596,2.5755,5.1846,1.1068,0.9462,0.7514,1.6435,1.2195,0.8834,0.2997,0.5281,0.2281,30,84,35,706.04,-141.62
120,C_Pb_Br,hexagonal,FIQSHI,-10.7378,-7.4779,-12.3191,-0.7084,-0.1649,-3.3579,-5.2827,-4.3124,-7.6871,3.7441,-2.8218,5.1846,0.6418,1.0396,0.7514,0.6367,1.4049,0.8834,1.1355,0.5676,0.2281,6,82,35,3990.6,-224.68
121,Al_Bi_I,hexagonal,FIQSHI,-5.7109,-6.7766,-10.6835,0.0405,-0.6841,-2.9703,-2.7067,-3.6061,-6.7057,3.1168,2.1526,3.8147,1.1043,0.9899,0.9024,1.3965,1.3017,1.0749,1.7101,0.5469,0.4119,13,83,53,950.96,-182.68
122,B_Bi_I,hexagonal,FIQSHI,-8.1249,-6.7766,-10.6835,0.0319,-0.6841,-2.9703,-3.6057,-3.6061,-6.7057,2.4537,2.1526,3.8147,0.8025,0.9899,0.9024,0.8348,1.3017,1.0749,1.3619,0.5469,0.4119,5,83,53,871.72,-251.38
123,Cd_Po_I,hexagonal,FIQSHI,-9.2604,-7.8364,-10.6835,1.4516,-1.2653,-2.9703,-5.657,-4.4381,-6.7057,-1.1292,2.5755,3.8147,1.2355,0.9462,0.9024,1.804,1.2195,1.0749,0.5192,0.5281,0.4119,48,84,53,817.52,-208.74
124,Ga_Bi_I,hexagonal,FIQSHI,-5.7265,-6.7766,-10.6835,0.0668,-0.6841,-2.9703,-2.6553,-3.6061,-6.7057,-2.5397,2.1526,3.8147,1.0027,0.9899,0.9024,1.344,1.3017,1.0749,0.2823,0.5469,0.4119,31,83,53,1129.3,-201.19
125,Ge_Ge_I,hexagonal,FIQSHI,-7.5349,-7.5349,-10.6835,-0.658,-0.658,-2.9703,-4.0179,-4.0179,-6.7057,-3.8308,-3.8308,3.8147,0.922,0.922,0.9024,1.1721,1.1721,1.0749,0.2666,0.2666,0.4119,32,32,53,732.88,-262.39
126,Ge_Pb_I,hexagonal,FIQSHI,-7.5349,-7.4779,-10.6835,-0.658,-0.1649,-2.9703,-4.0179,-4.3124,-6.7057,-3.8308,-2.8218,3.8147,0.922,1.0396,0.9024,1.1721,1.4049,1.0749,0.2666,0.5676,0.4119,32,82,53,5169.7,-259.11
127,Ge_Sn_I,hexagonal,FIQSHI,-7.5349,-7.1531,-10.6835,-0.658,-0.6953,-2.9703,-4.0179,-3.9778,-6.7057,-3.8308,-3.5282,3.8147,0.922,1.066,0.9024,1.1721,1.3554,1.0749,0.2666,0.4694,0.4119,32,50,53,843.6,-240.44
128,Hg_Po_I,hexagonal,FIQSHI,-10.719,-7.8364,-10.6835,1.2734,-1.2653,-2.9703,-6.808,-4.4381,-6.7057,-1.369,2.5755,3.8147,1.1675,0.9462,0.9024,1.8734,1.2195,1.0749,0.6158,0.5281,0.4119,80,84,53,1015.7,-220.9
129,In_Bi_I,hexagonal,FIQSHI,-5.5634,-6.7766,-10.6835,-0.1615,-0.6841,-2.9703,-2.7148,-3.6061,-6.7057,-2.4096,2.1526,3.8147,1.1407,0.9899,0.9024,1.5133,1.3017,1.0749,0.4929,0.5469,0.4119,49,83,53,1307.6,-176.85
130,Pb_Pb_I,hexagonal,FIQSHI,-7.4779,-7.4779,-10.6835,-0.1649,-0.1649,-2.9703,-4.3124,-4.3124,-6.7057,-2.8218,-2.8218,3.8147,1.0396,1.0396,0.9024,1.4049,1.4049,1.0749,0.5676,0.5676,0.4119,82,82,53,7437.1,-229.8
131,Si_Pb_I,hexagonal,FIQSHI,-7.674,-7.4779,-10.6835,-0.7975,-0.1649,-2.9703,-4.0707,-4.3124,-6.7057,3.7258,-2.8218,3.8147,0.9466,1.0396,0.9024,1.1405,1.4049,1.0749,1.1619,0.5676,0.4119,14,82,53,4353.4,-252.38
132,Sn_Sn_I,hexagonal,FIQSHI,-7.1531,-7.1531,-10.6835,-0.6953,-0.6953,-2.9703,-3.9778,-3.9778,-6.7057,-3.5282,-3.5282,3.8147,1.066,1.066,0.9024,1.3554,1.3554,1.0749,0.4694,0.4694,0.4119,50,50,53,1028.8,-207.96
133,Tl_Bi_I,hexagonal,FIQSHI,-5.8428,-6.7766,-10.6835,-0.3652,-0.6841,-2.9703,-2.9548,-3.6061,-6.7057,-1.9101,2.1526,3.8147,1.0974,0.9899,0.9024,1.5446,1.3017,1.0749,0.5904,0.5469,0.4119,81,83,53,1624.6,-183.83
134,Tl_Sb_I,hexagonal,FIQSHI,-5.8428,-8.0367,-10.6835,-0.3652,-1.3698,-2.9703,-2.9548,-4.6012,-6.7057,-1.9101,4.276,3.8147,1.0974,1.0035,0.9024,1.5446,1.24,1.0749,0.5904,0.4483,0.4119,81,51,53,774.45,-244.69
135,Zn_Po_I,hexagonal,FIQSHI,-9.8943,-7.8364,-10.6835,1.933,-1.2653,-2.9703,-5.9772,-4.4381,-6.7057,-0.8596,2.5755,3.8147,1.1068,0.9462,0.9024,1.6435,1.2195,1.0749,0.2997,0.5281,0.4119,30,84,53,706.04,-233.02
136,C_Pb_I,hexagonal,FIQSHI,-10.7378,-7.4779,-10.6835,-0.7084,-0.1649,-2.9703,-5.2827,-4.3124,-6.7057,3.7441,-2.8218,3.8147,0.6418,1.0396,0.9024,0.6367,1.4049,1.0749,1.1355,0.5676,0.4119,6,82,53,3990.6,-372.24
137,Cd_O_Br,hexagonal,FDQSHI,-9.2604,-16.2932,-12.3191,1.4516,-2.8068,-3.3579,-5.657,-9.019,-7.6871,-1.1292,3.0142,5.1846,1.2355,0.4608,0.7514,1.804,0.4333,0.8834,0.5192,1.075,0.2281,48,8,35,325.07,-366.43
138,Ga_N_Br,hexagonal,FDQSHI,-5.7265,-13.4588,-12.3191,0.0668,-1.6717,-3.3579,-2.6553,-7.0838,-7.6871,-2.5397,4.1488,5.1846,1.0027,0.5361,0.7514,1.344,0.5154,0.8834,0.2823,1.214,0.2281,31,7,35,305.94,-352.59
139,Hg_O_Br,hexagonal,FDQSHI,-10.719,-16.2932,-12.3191,1.2734,-2.8068,-3.3579,-6.808,-9.019,-7.6871,-1.369,3.0142,5.1846,1.1675,0.4608,0.7514,1.8734,0.4333,0.8834,0.6158,1.075,0.2281,80,8,35,510.83,-387.78
140,In_N_Br,hexagonal,FDQSHI,-5.5634,-13.4588,-12.3191,-0.1615,-1.6717,-3.3579,-2.7148,-7.0838,-7.6871,-2.4096,4.1488,5.1846,1.1407,0.5361,0.7514,1.5133,0.5154,0.8834,0.4929,1.214,0.2281,49,7,35,450.85,-309.93
141,Tl_N_Br,hexagonal,FDQSHI,-5.8428,-13.4588,-12.3191,-0.3652,-1.6717,-3.3579,-2.9548,-7.0838,-7.6871,-1.9101,4.1488,5.1846,1.0974,0.5361,0.7514,1.5446,0.5154,0.8834,0.5904,1.214,0.2281,81,7,35,708.49,-322.16
142,Zn_O_Br,hexagonal,FDQSHI,-9.8943,-16.2932,-12.3191,1.933,-2.8068,-3.3579,-5.9772,-9.019,-7.6871,-0.8596,3.0142,5.1846,1.1068,0.4608,0.7514,1.6435,0.4333,0.8834,0.2997,1.075,0.2281,30,8,35,220.59,-409.04
143,B_As_I,hexagonal,FDQSHI,-8.1249,-8.9924,-10.6835,0.0319,-1.5202,-2.9703,-3.6057,-5.1007,-6.7057,2.4537,4.0412,3.8147,0.8025,0.8558,0.9024,0.8348,1.0507,1.0749,1.3619,0.2524,0.4119,5,33,53,224.78,-397.72
144,B_Sb_I,hexagonal,FDQSHI,-8.1249,-8.0367,-10.6835,0.0319,-1.3698,-2.9703,-3.6057,-4.6012,-6.7057,2.4537,4.276,3.8147,0.8025,1.0035,0.9024,0.8348,1.24,1.0749,1.3619,0.4483,0.4119,5,51,53,328.56,-334.6
145,Cd_O_I,hexagonal,FDQSHI,-9.2604,-16.2932,-10.6835,1.4516,-2.8068,-2.9703,-5.657,-9.019,-6.7057,-1.1292,3.0142,3.8147,1.2355,0.4608,0.9024,1.804,0.4333,1.0749,0.5192,1.075,0.4119,48,8,53,325.07,-571.51
146,Cd_S_I,hexagonal,FDQSHI,-9.2604,-11.6948,-10.6835,1.4516,-2.5741,-2.9703,-5.657,-6.981,-6.7057,-1.1292,4.6386,3.8147,1.2355,0.7473,0.9024,1.804,0.8493,1.0749,0.5192,1.3934,0.4119,48,16,53,290.77,-374.27
147,Cd_Se_I,hexagonal,FDQSHI,-9.2604,-10.652,-10.6835,1.4516,-2.4179,-2.9703,-5.657,-6.3811,-6.7057,-1.1292,4.5507,3.8147,1.2355,0.7997,0.9024,1.804,0.9578,1.0749,0.5192,0.2397,0.4119,48,34,53,361.25,-329.53
148,Ga_As_I,hexagonal,FDQSHI,-5.7265,-8.9924,-10.6835,0.0668,-1.5202,-2.9703,-2.6553,-5.1007,-6.7057,-2.5397,4.0412,3.8147,1.0027,0.8558,0.9024,1.344,1.0507,1.0749,0.2823,0.2524,0.4119,31,33,53,378.58,-318.31
149,Ga_P_I,hexagonal,FDQSHI,-5.7265,-9.6747,-10.6835,0.0668,-1.5811,-2.9703,-2.6553,-5.4891,-6.7057,-2.5397,4.1935,3.8147,1.0027,0.8336,0.9024,1.344,0.9712,1.0749,0.2823,1.4172,0.4119,31,15,53,281.47,-354.38
150,Hg_S_I,hexagonal,FDQSHI,-10.719,-11.6948,-10.6835,1.2734,-2.5741,-2.9703,-6.808,-6.981,-6.7057,-1.369,4.6386,3.8147,1.1675,0.7473,0.9024,1.8734,0.8493,1.0749,0.6158,1.3934,0.4119,80,16,53,436.15,-396.07
151,Hg_Se_I,hexagonal,FDQSHI,-10.719,-10.652,-10.6835,1.2734,-2.4179,-2.9703,-6.808,-6.3811,-6.7057,-1.369,4.5507,3.8147,1.1675,0.7997,0.9024,1.8734,0.9578,1.0749,0.6158,0.2397,0.4119,80,34,53,502.22,-348.72
152,In_As_I,hexagonal,FDQSHI,-5.5634,-8.9924,-10.6835,-0.1615,-1.5202,-2.9703,-2.7148,-5.1007,-6.7057,-2.4096,4.0412,3.8147,1.1407,0.8558,0.9024,1.5133,1.0507,1.0749,0.4929,0.2524,0.4119,49,33,53,485.05,-279.8
153,Si_Ge_I,hexagonal,FDQSHI,-7.674,-7.5349,-10.6835,-0.7975,-0.658,-2.9703,-4.0707,-4.0179,-6.7057,3.7258,-3.8308,3.8147,0.9466,0.922,0.9024,1.1405,1.1721,1.0749,1.1619,0.2666,0.4119,14,32,53,526.76,-255.57
154,Si_Sn_I,hexagonal,FDQSHI,-7.674,-7.1531,-10.6835,-0.7975,-0.6953,-2.9703,-4.0707,-3.9778,-6.7057,3.7258,-3.5282,3.8147,0.9466,1.066,0.9024,1.1405,1.3554,1.0749,1.1619,0.4694,0.4119,14,50,53,658.42,-234.19
155,Tl_P_I,hexagonal,FDQSHI,-5.8428,-9.6747,-10.6835,-0.3652,-1.5811,-2.9703,-2.9548,-5.4891,-6.7057,-1.9101,4.1935,3.8147,1.0974,0.8336,0.9024,1.5446,0.9712,1.0749,0.5904,1.4172,0.4119,81,15,53,587.42,-323.8
156,Zn_S_I,hexagonal,FDQSHI,-9.8943,-11.6948,-10.6835,1.933,-2.5741,-2.9703,-5.9772,-6.981,-6.7057,-0.8596,4.6386,3.8147,1.1068,0.7473,0.9024,1.6435,0.8493,1.0749,0.2997,1.3934,0.4119,30,16,53,208.99,-417.79
157,Zn_Se_I,hexagonal,FDQSHI,-9.8943,-10.652,-10.6835,1.933,-2.4179,-2.9703,-5.9772,-6.3811,-6.7057,-0.8596,4.5507,3.8147,1.1068,0.7997,0.9024,1.6435,0.9578,1.0749,0.2997,0.2397,0.4119,30,34,53,281.95,-367.84
158,C_Sn_I,hexagonal,FDQSHI,-10.7378,-7.1531,-10.6835,-0.7084,-0.6953,-2.9703,-5.2827,-3.9778,-6.7057,3.7441,-3.5282,3.8147,0.6418,1.066,0.9024,0.6367,1.3554,1.0749,1.1355,0.4694,0.4119,6,50,53,576.12,-345.42
